school_id,0,1,2
1020080005,ระบบเครือข่ายอินเทอร์เน็ตที่โรงเรียนเช่าเอง,ผู้ให้บริการ:,-
1020080005,ระบบเครือข่ายอินเทอร์เน็ตที่โรงเรียนเช่าเอง,ประเภท:,-
1020080005,ระบบเครือข่ายอินเทอร์เน็ตที่โรงเรียนเช่าเอง,ความเร็ว:,-
1020080005,ระบบเครือข่ายอินเทอร์เน็ตที่โรงเรียนเช่าเอง,สถานะการใช้งาน:,-
1020080005,ระบบเครือข่ายอินเทอร์เน็ตที่โรงเรียนเช่าเอง,งบประมาณ/เดือน:,-
1020080005,ระบบเครือข่าย,ระบบเครือข่าย (LAN):,มีระบบเครือข่าย LAN
1020080005,ระบบเครือข่าย,ระบบเครือข่ายไร้สาย (Wireless LAN):,มีระบบเครือข่ายไร้สาย (Wireless LAN)
1020080035,ระบบเครือข่ายอินเทอร์เน็ตที่โรงเรียนเช่าเอง,ผู้ให้บริการ:,-
1020080035,ระบบเครือข่ายอินเทอร์เน็ตที่โรงเรียนเช่าเอง,ประเภท:,-
1020080035,ระบบเครือข่ายอินเทอร์เน็ตที่โรงเรียนเช่าเอง,ความเร็ว:,-
1020080035,ระบบเครือข่ายอินเทอร์เน็ตที่โรงเรียนเช่าเอง,สถานะการใช้งาน:,-
1020080035,ระบบเครือข่ายอินเทอร์เน็ตที่โรงเรียนเช่าเอง,งบประมาณ/เดือน:,-
1020080035,ระบบเครือข่าย,ระบบเครือข่าย (LAN):,มีระบบเครือข่าย LAN
1020080035,ระบบเครือข่าย,ระบบเครือข่ายไร้สาย (Wireless LAN):,มีระบบเครือข่ายไร้สาย (Wireless LAN)
