0,1,2
จำนวนคอมพิวเตอร์เพื่อการเรียนการสอน,งบประมาณ สพฐ.,47 เครื่อง
จำนวนคอมพิวเตอร์เพื่อการเรียนการสอน,จัดหาเอง/บริจาค:,27 เครื่อง
จำนวนคอมพิวเตอร์เพื่อการเรียนการสอน,รวม,74 เครื่อง
จำนวนคอมพิวเตอร์เพื่อการเรียนการสอน,ใช้งานได้:,41 เครื่อง
จำนวนคอมพิวเตอร์เพื่อการเรียนการสอน,ใช้งานไม่ได้:,33 เครื่อง
จำนวนคอมพิวเตอร์เพื่อการบริหารจัดการ,งบประมาณ สพฐ.,0 เครื่อง
จำนวนคอมพิวเตอร์เพื่อการบริหารจัดการ,จัดหาเอง/บริจาค:,4 เครื่อง
จำนวนคอมพิวเตอร์เพื่อการบริหารจัดการ,รวม,4 เครื่อง
จำนวนคอมพิวเตอร์เพื่อการบริหารจัดการ,ใช้งานได้:,4 เครื่อง
จำนวนคอมพิวเตอร์เพื่อการบริหารจัดการ,ใช้งานไม่ได้:,0 เครื่อง
จำนวนคอมพิวเตอรทั้งหมด,คอมพิวเตอร์:,78 เครื่อง
จำนวนคอมพิวเตอรทั้งหมด,ใช้งานได้:,45 เครื่อง
จำนวนคอมพิวเตอรทั้งหมด,ใช้งานไม่ได้:,33 เครื่อง
