,0,1,2,3,4,school_id
0,ชั้น/เพศ,ชาย,หญิง,รวม,ห้องเรียน,1020080005
1,อบ.1,0,0,0,0,1020080005
2,อบ.2,6,3,9,1,1020080005
3,อบ.3,1,3,4,1,1020080005
4,รวม อบ.,7,6,13,2,1020080005
5,ป.1,4,2,6,1,1020080005
6,ป.2,2,5,7,1,1020080005
7,ป.3,5,4,9,1,1020080005
8,ป.4,1,3,4,1,1020080005
9,ป.5,3,4,7,1,1020080005
10,ป.6,9,4,13,1,1020080005
11,รวมประถม,24,22,46,6,1020080005
12,ม.1,0,0,0,0,1020080005
13,ม.2,0,0,0,0,1020080005
14,ม.3,0,0,0,0,1020080005
15,รวมมัธยมต้น,0,0,0,0,1020080005
16,ม.4,0,0,0,0,1020080005
17,ม.5,0,0,0,0,1020080005
18,ม.6,0,0,0,0,1020080005
19,ปวช.1,0,0,0,0,1020080005
20,ปวช.2,0,0,0,0,1020080005
21,ปวช.3,0,0,0,0,1020080005
22,รวมมัธยมปลายและเทียบเท่า,0,0,0,0,1020080005
23,รวมทั้งหมด,31,28,59,8,1020080005
24,ข้อมูล ณ วันที่ 10 มิถุนายน 2565,ข้อมูล ณ วันที่ 10 มิถุนายน 2565,ข้อมูล ณ วันที่ 10 มิถุนายน 2565,ข้อมูล ณ วันที่ 10 มิถุนายน 2565,ข้อมูล ณ วันที่ 10 มิถุนายน 2565,1020080005
0,ชั้น/เพศ,ชาย,หญิง,รวม,ห้องเรียน,1020080035
1,อบ.1,11,16,27,1,1020080035
2,อบ.2,18,16,34,2,1020080035
3,อบ.3,21,14,35,2,1020080035
4,รวม อบ.,50,46,96,5,1020080035
5,ป.1,22,16,38,2,1020080035
6,ป.2,28,27,55,2,1020080035
7,ป.3,29,22,51,2,1020080035
8,ป.4,38,24,62,2,1020080035
9,ป.5,34,31,65,2,1020080035
10,ป.6,30,31,61,2,1020080035
11,รวมประถม,181,151,332,12,1020080035
12,ม.1,49,35,84,2,1020080035
13,ม.2,39,35,74,2,1020080035
14,ม.3,54,37,91,2,1020080035
15,รวมมัธยมต้น,142,107,249,6,1020080035
16,ม.4,0,0,0,0,1020080035
17,ม.5,0,0,0,0,1020080035
18,ม.6,0,0,0,0,1020080035
19,ปวช.1,0,0,0,0,1020080035
20,ปวช.2,0,0,0,0,1020080035
21,ปวช.3,0,0,0,0,1020080035
22,รวมมัธยมปลายและเทียบเท่า,0,0,0,0,1020080035
23,รวมทั้งหมด,373,304,677,23,1020080035
24,ข้อมูล ณ วันที่ 10 มิถุนายน 2565,ข้อมูล ณ วันที่ 10 มิถุนายน 2565,ข้อมูล ณ วันที่ 10 มิถุนายน 2565,ข้อมูล ณ วันที่ 10 มิถุนายน 2565,ข้อมูล ณ วันที่ 10 มิถุนายน 2565,1020080035
